"","location","ele","time","name","date","species.code","sex..M.F.","age.pelage..J.A.S.","Rat.ID","left.eartag","right.eartag","RFID","new.animal...Y.N.","total.mass..g.","female..perforate..partially.perforate..imperforate.","female.nipple.size..S.M.L.","pregnant...Y.N.Possibly.","fleas","ticks","male..scrotal..nonscrotal.","Notes","X","X.1","X.2","date_index","year","rat_id_index","coords.x1","coords.x2","optional"
"42","WC02B",189.60228,"2013/04/22 16:59:45+00","WC02B",2017-08-05,"NeFu","F","A",6397,"6397","","1B797025C4","N",NA,"","","","","","","TRAP MORTALITY",NA,"",NA,35,2017,156,-122.154679996893,38.5018399637192,TRUE
"43","WC03",190.054123,"2013/04/22 16:59:45+00","WC03",2012-09-06,"Nefu","M","S",5571,"5571","","1B79701F84","N",170,"","","","","","NS","Original pit tag lost since last capture, new pit tag issued",NA,"",NA,4,2012,70,-122.154941009358,38.5017800331116,TRUE
"44","WC03",190.054123,"2013/04/22 16:59:45+00","WC03",2012-07-25,"Nefu","M","S",5571,"5571","","1B797025E0","Y",155,"","","","","","NS","",NA,"",NA,2,2012,70,-122.154941009358,38.5017800331116,TRUE
"45","WC04",188.432968,"2013/04/22 16:59:45+00","WC04",2012-07-25,"Nefu","M","J",5574,"5574","","1B79702D31","Y",145,"","","","","","NS","",NA,"",NA,2,2012,71,-122.15472701937,38.5018719825894,TRUE
"46","WC05",205.662292,"2013/04/15 16:43:20+00","WC05",2012-07-25,"Nefu","F","A",5761,"5761","","1B7970208D","Y",185,"I","S","N","","","","Fleas",NA,"",NA,2,2012,87,-122.154678991064,38.5019650217146,TRUE
"47","WC05",205.662292,"2013/04/15 16:43:20+00","WC05",2012-08-10,"Nefu","F","A",5761,"5761","","1B79701710","N",199,"I","S","N","","","","Short tail.  Re-tagged: pit tag from first capture did not stay in.",NA,"",NA,3,2012,87,-122.154678991064,38.5019650217146,TRUE
"48","WC05",205.662292,"2013/04/15 16:43:20+00","WC05",2017-09-03,"Nefu","F","A",5766,"5766/0384","","0015C465A3","N",159,"I","S","N","Y","N","","new and old wound in tail tip, went up into tree away from house",NA,"",NA,37,2017,90,-122.154678991064,38.5019650217146,TRUE
"49","WC05",205.662292,"2013/04/15 16:43:20+00","WC05",2019-05-12,"NeFu","F","A",314,"0314","","0015C465DE","N",187.5,"I","L","N","Y","N","","went downhill away from nest",NA,"",NA,50,2019,19,-122.154678991064,38.5019650217146,TRUE
"50","WC05",205.662292,"2013/04/15 16:43:20+00","WC05",2019-05-05,"NeFu","F","A ",314,"0314","","0015C465DE","N",197.5,"PP","L","N","Y","N","","went into nest",NA,"",NA,49,2019,19,-122.154678991064,38.5019650217146,TRUE
"51","WC05B",199.075485,"2013/04/15 16:43:20+00","WC05B",2013-06-16,"Nefu","M","A",5529,"5529","","1B79701628","Y",265,"","","","Y","N","NS","ears have some scratches/tares",NA,"",NA,9,2013,53,-122.154151014984,38.5022419597954,TRUE
"52","WC06",174.445938,"2013/04/22 16:59:45+00","WC06",2014-10-17,"Nefu","M","A",6325,"6325","","1B79701A33","N",NA,"","","","","","","box test ",NA,"",NA,21,2014,121,-122.154735988006,38.5020680353045,TRUE
"53","WC06",174.445938,"2013/04/22 16:59:45+00","WC06",2013-08-10,"Nefu","F","S",6372,"6372","","1B7970231C","N",135,"","","","","","","amimal incorrectly sexed as male on datasheet",NA,"",NA,12,2013,149,-122.154735988006,38.5020680353045,TRUE
